ISIC_id,img_filename,seg_filename,annotator,tool,skill_level,mskObjectID,mask_md5
ISIC_0000004,ISIC_0000004.JPG,ISIC_0000004_A04_T1_S2_545d08aabae47821f8802550.png,A04,T1,S2,545d08aabae47821f8802550,ad1d0b9618b9fa5649b2d8f6b2507eda
ISIC_0000004,ISIC_0000004.JPG,ISIC_0000004_A06_T1_S1_54ea8ac3bae47871b5e00cd2.png,A06,T1,S1,54ea8ac3bae47871b5e00cd2,8115f9c1573e8d9a962ecb46d28ef16a
ISIC_0000013,ISIC_0000013.JPG,ISIC_0000013_A03_T1_S1_57be07fe9fc3c1434763a313.png,A03,T1,S1,57be07fe9fc3c1434763a313,b62867e7ed0cf958750f72e5faac1f00
ISIC_0000013,ISIC_0000013.JPG,ISIC_0000013_A02_T3_S1_57c046d59fc3c158f2bd0e1e.png,A02,T3,S1,57c046d59fc3c158f2bd0e1e,99ef91fd01e2928aae336647bfd780e8
ISIC_0000013,ISIC_0000013.JPG,ISIC_0000013_A04_T3_S1_545cf086bae47821f88024e4.png,A04,T3,S1,545cf086bae47821f88024e4,01663de96442768404f64b6f010b453d
ISIC_0000015,ISIC_0000015.JPG,ISIC_0000015_A04_T3_S1_545cea86bae47821f88024cc.png,A04,T3,S1,545cea86bae47821f88024cc,5e80e5e346e2a5a26fe5f4a078ab1c99
ISIC_0000015,ISIC_0000015.JPG,ISIC_0000015_A02_T3_S1_57c046e89fc3c158f2bd0e1f.png,A02,T3,S1,57c046e89fc3c158f2bd0e1f,da3514efdb33f0a1f825e7b0bf4f0d3c
ISIC_0000015,ISIC_0000015.JPG,ISIC_0000015_A03_T1_S1_57be081e9fc3c1434763a314.png,A03,T1,S1,57be081e9fc3c1434763a314,60495ddf84caba3d64cdab5c018955a8
ISIC_0000022,ISIC_0000022.JPG,ISIC_0000022_A04_T3_S2_545be7e2bae47821f880248a.png,A04,T3,S2,545be7e2bae47821f880248a,d6938748302fec1011233509dbc3c75e
ISIC_0000022,ISIC_0000022.JPG,ISIC_0000022_A03_T1_S1_57be08459fc3c1434763a315.png,A03,T1,S1,57be08459fc3c1434763a315,c741d563cb45121a91974d4a6ffad91e
ISIC_0000022,ISIC_0000022.JPG,ISIC_0000022_A06_T1_S1_54ea8cdabae47871b5e00d42.png,A06,T1,S1,54ea8cdabae47871b5e00d42,7848ff2671ca444f74f7355b5d29d3f2
ISIC_0000022,ISIC_0000022.JPG,ISIC_0000022_A02_T1_S1_57c0475c9fc3c158f2bd0e20.png,A02,T1,S1,57c0475c9fc3c158f2bd0e20,e3274393223c5edf625f47ae345636ed
