ISIC_id,img_filename,seg_filename,annotator,tool,skill_level,mskObjectID,mask_md5
ISIC_0000000,ISIC_0000000.JPG,ISIC_0000000_A04_T3_S1_5463934bbae47821f88025ad.png,A04,T3,S1,5463934bbae47821f88025ad,54414f9e5d6ead79adfdfa6749f393f4
ISIC_0000001,ISIC_0000001.JPG,ISIC_0000001_A04_T3_S1_545d0fadbae47821f880257b.png,A04,T3,S1,545d0fadbae47821f880257b,96f97b8f9523f75c2d4b2b5fbbc2f272
ISIC_0000002,ISIC_0000002.JPG,ISIC_0000002_A04_T3_S1_545d0c6bbae47821f880256c.png,A04,T3,S1,545d0c6bbae47821f880256c,e9e0624ab04b4bdb07799a08bc784ffd
ISIC_0000003,ISIC_0000003.JPG,ISIC_0000003_A04_T3_S1_545d0aeabae47821f880255c.png,A04,T3,S1,545d0aeabae47821f880255c,a694a54c594f7559d527328a8a724c5c
ISIC_0000004,ISIC_0000004.JPG,ISIC_0000004_A04_T1_S2_545d08aabae47821f8802550.png,A04,T1,S2,545d08aabae47821f8802550,ad1d0b9618b9fa5649b2d8f6b2507eda
ISIC_0000004,ISIC_0000004.JPG,ISIC_0000004_A06_T1_S1_54ea8ac3bae47871b5e00cd2.png,A06,T1,S1,54ea8ac3bae47871b5e00cd2,8115f9c1573e8d9a962ecb46d28ef16a
ISIC_0000005,ISIC_0000005.JPG,ISIC_0000005_A04_T3_S1_545d0702bae47821f8802544.png,A04,T3,S1,545d0702bae47821f8802544,dd6ea3b9d4433cd2224ae159f4bc4236
ISIC_0000006,ISIC_0000006.JPG,ISIC_0000006_A04_T3_S1_545d055cbae47821f8802538.png,A04,T3,S1,545d055cbae47821f8802538,83ad3ac0d7bfa189d1d9b68776221d72
ISIC_0000007,ISIC_0000007.JPG,ISIC_0000007_A04_T3_S1_545cfd69bae47821f880252c.png,A04,T3,S1,545cfd69bae47821f880252c,2c28ae5b7e6c9deb665991c8fdbdbabb
ISIC_0000008,ISIC_0000008.JPG,ISIC_0000008_A04_T3_S1_545cfb20bae47821f8802520.png,A04,T3,S1,545cfb20bae47821f8802520,9d87057280319b666c64b56889f73acd
ISIC_0000009,ISIC_0000009.JPG,ISIC_0000009_A04_T3_S1_545cf969bae47821f8802514.png,A04,T3,S1,545cf969bae47821f8802514,c1fc8c7ba20d848984e7862e755b704d
ISIC_0000010,ISIC_0000010.JPG,ISIC_0000010_A04_T3_S1_545cf892bae47821f8802508.png,A04,T3,S1,545cf892bae47821f8802508,9d96e04d4491fa2ad526dd7dd6654944
ISIC_0000011,ISIC_0000011.JPG,ISIC_0000011_A04_T3_S1_545cf539bae47821f88024fc.png,A04,T3,S1,545cf539bae47821f88024fc,11d380f8d7aa97de9a2892240d2a2e04
ISIC_0000012,ISIC_0000012.JPG,ISIC_0000012_A04_T3_S1_545cf39bbae47821f88024f0.png,A04,T3,S1,545cf39bbae47821f88024f0,6202e3f59cab37c1455666e42e85d81c
ISIC_0000013,ISIC_0000013.JPG,ISIC_0000013_A03_T1_S1_57be07fe9fc3c1434763a313.png,A03,T1,S1,57be07fe9fc3c1434763a313,b62867e7ed0cf958750f72e5faac1f00
