image,mask,issue,severity
ISIC_0000033.JPG,ISIC_0000033_A04_T1_S1_545bdaf4bae47821f8802469.png,Mask touches image border,low
ISIC_0000090.JPG,ISIC_0000090_A04_T1_S1_545ba64fbae47821f88023be.png,Mask touches image border,low
ISIC_0000160.JPG,ISIC_0000160_A04_T1_S1_545939f4bae47821f88022ec.png,Mask touches image border,low
ISIC_0000168.JPG,ISIC_0000168_A04_T1_S1_54592f1bbae47821f88022d4.png,Mask touches image border,low
ISIC_0000187.JPG,ISIC_0000187_A06_T1_S1_5661eee69fc3c147bbd6a578.png,Mask touches image border,low
ISIC_0000187.JPG,ISIC_0000187_A04_T1_S2_545912bebae47821f880229b.png,Mask touches image border,low
ISIC_0000188.JPG,ISIC_0000188_A04_T1_S1_54590a80bae47821f8802298.png,Mask touches image border,low
ISIC_0000190.JPG,ISIC_0000190_A04_T1_S1_545907f1bae47821f8802292.png,Mask touches image border,low
ISIC_0000202.JPG,ISIC_0000202_A04_T1_S2_545901c2bae47821f880226e.png,Mask touches image border,low
ISIC_0000202.JPG,ISIC_0000202_A06_T1_S1_5661b18a9fc3c147bbd69a32.png,Mask touches image border,low
ISIC_0000203.JPG,ISIC_0000203_A04_T1_S1_54590153bae47821f880226b.png,Mask touches image border,low
ISIC_0000204.JPG,ISIC_0000204_A06_T1_S1_566579869fc3c147bbd6aeae.png,Mask touches image border,low
ISIC_0000204.JPG,ISIC_0000204_A04_T1_S2_5458fe8ebae47821f8802268.png,Mask touches image border,low
ISIC_0000205.JPG,ISIC_0000205_A04_T3_S2_5458fe29bae47821f8802265.png,Mask touches image border,low
ISIC_0000208.JPG,ISIC_0000208_A04_T1_S1_5458faa8bae47821f880225c.png,Mask touches image border,low
ISIC_0000212.JPG,ISIC_0000212_A06_T1_S1_56657b899fc3c147bbd6aed2.png,Mask touches image border,low
ISIC_0000215.JPG,ISIC_0000215_A04_T3_S2_5458e704bae47821f8802247.png,Mask touches image border,low
ISIC_0000215.JPG,ISIC_0000215_A06_T1_S1_568bb4c29fc3c126c063ff43.png,Mask touches image border,low
ISIC_0000222.JPG,ISIC_0000222_A04_T3_S1_5457fb4bbae47821f8802232.png,Mask touches image border,low
ISIC_0000224.JPG,ISIC_0000224_A04_T1_S1_5457fad6bae47821f880222c.png,Mask touches image border,low
ISIC_0000230.JPG,ISIC_0000230_A06_T1_S1_5661aab59fc3c147bbd69972.png,Mask touches image border,low
ISIC_0000246.JPG,ISIC_0000246_A04_T3_S1_5457d4f0bae47821f88021ea.png,Mask touches image border,low
ISIC_0000259.JPG,ISIC_0000259_A06_T1_S1_5661a71b9fc3c147bbd698ee.png,Mask touches image border,low
ISIC_0000259.JPG,ISIC_0000259_A04_T3_S2_5457cc38bae47821f88021c3.png,Mask touches image border,low
ISIC_0000266.JPG,ISIC_0000266_A04_T1_S1_5457c93dbae47821f88021ae.png,Mask touches image border,low
ISIC_0000267.JPG,ISIC_0000267_A06_T1_S1_5661a5e49fc3c147bbd698be.png,Mask touches image border,low
ISIC_0000279.JPG,ISIC_0000279_A04_T3_S1_5457b5eebae47821f8802187.png,Mask touches image border,low
ISIC_0000280.JPG,ISIC_0000280_A04_T3_S1_5457b5b9bae47821f8802184.png,Mask touches image border,low
ISIC_0000282.JPG,ISIC_0000282_A04_T1_S1_5457b3cbbae47821f880217e.png,Mask touches image border,low
ISIC_0000284.JPG,ISIC_0000284_A04_T1_S2_5457b2edbae47821f8802178.png,Mask touches image border,low
ISIC_0000285.JPG,ISIC_0000285_A04_T1_S1_5457b278bae47821f8802175.png,Mask touches image border,low
ISIC_0000286.JPG,ISIC_0000286_A04_T1_S1_5457af15bae47821f8802172.png,Mask touches image border,low
ISIC_0000288.JPG,ISIC_0000288_A04_T1_S1_5457ae3dbae47821f880216c.png,Mask touches image border,low
ISIC_0000293.JPG,ISIC_0000293_A04_T1_S1_5453f859bae47821f880215d.png,Mask touches image border,low
ISIC_0000296.JPG,ISIC_0000296_A04_T1_S1_5453f3c8bae47821f8802154.png,Mask touches image border,low
ISIC_0000299.JPG,ISIC_0000299_A04_T3_S2_5453f2eabae47821f880214b.png,Mask touches image border,low
ISIC_0000301.JPG,ISIC_0000301_A04_T1_S1_5453ed12bae47821f8802145.png,Mask touches image border,low
ISIC_0000301.JPG,ISIC_0000301_A06_T1_S1_568b3f3f9fc3c126c063ff1c.png,Mask touches image border,low
ISIC_0000303.JPG,ISIC_0000303_A04_T1_S1_5453ec00bae47821f880213f.png,Mask touches image border,low
ISIC_0000307.JPG,ISIC_0000307_A04_T1_S1_5453e9c4bae47821f8802133.png,Mask touches image border,low
ISIC_0000308.JPG,ISIC_0000308_A04_T1_S2_5453e729bae47821f8802130.png,Mask touches image border,low
ISIC_0000308.JPG,ISIC_0000308_A06_T1_S1_5661b6a09fc3c147bbd69a9e.png,Mask touches image border,low
ISIC_0000312.JPG,ISIC_0000312_A06_T1_S1_5661acd99fc3c147bbd699c6.png,Mask touches image border,low
ISIC_0000312.JPG,ISIC_0000312_A04_T3_S2_5453e535bae47821f8802124.png,Mask touches image border,low
ISIC_0000328.JPG,ISIC_0000328_A04_T1_S2_5453ce60bae47821f88020f4.png,Mask touches image border,low
ISIC_0000335.JPG,ISIC_0000335_A06_T1_S1_5661b02a9fc3c147bbd699fc.png,Mask touches image border,low
ISIC_0000354.JPG,ISIC_0000354_A04_T3_S2_5453bb8abae47821f88020a6.png,Mask touches image border,low
ISIC_0000354.JPG,ISIC_0000354_A06_T3_S1_5661ed8c9fc3c147bbd6a4fa.png,Mask touches image border,low
ISIC_0000389.JPG,ISIC_0000389_A06_T1_S1_56603aa19fc3c1045c4bdea2.png,Mask touches image border,low
ISIC_0000395.JPG,ISIC_0000395_A04_T1_S2_54529dedbae47821f880202b.png,Mask touches image border,low
ISIC_0000399.JPG,ISIC_0000399_A04_T1_S1_545293e5bae47821f880201f.png,Mask touches image border,low
ISIC_0000405.JPG,ISIC_0000405_A04_T1_S1_545276a7bae47821f880200d.png,Mask touches image border,low
ISIC_0000408.JPG,ISIC_0000408_A06_T1_S1_568b28e99fc3c126c063fe7a.png,Mask touches image border,low
ISIC_0000426.JPG,ISIC_0000426_A06_T1_S1_568b35f09fc3c126c063fece.png,Mask touches image border,low
ISIC_0000440.JPG,ISIC_0000440_A06_T1_S1_54cda327bae47819d8e4cd32.png,Mask touches image border,low
ISIC_0000467.JPG,ISIC_0000467_A10_T3_S2_54510846bae47821f8801f50.png,Mask touches image border,low
ISIC_0000468.JPG,ISIC_0000468_A10_T3_S2_54510797bae47821f8801f4d.png,Mask touches image border,low
ISIC_0000475.JPG,ISIC_0000475_A04_T3_S2_5450ff4ebae47821f8801f35.png,Mask touches image border,low
ISIC_0000477.JPG,ISIC_0000477_A04_T3_S2_5450fd2ebae47821f8801f2f.png,Mask touches image border,low
ISIC_0000478.JPG,ISIC_0000478_A04_T3_S1_5450fcd9bae47821520d147d.png,Mask touches image border,low
ISIC_0000479.JPG,ISIC_0000479_A04_T3_S1_5450fca6bae47865794e4d55.png,Mask touches image border,low
ISIC_0000481.JPG,ISIC_0000481_A06_T1_S1_568b3cc49fc3c126c063ff0a.png,Mask touches image border,low
ISIC_0000481.JPG,ISIC_0000481_A06_T3_S1_54cc09b9bae47819d8e4ca75.png,Mask touches image border,low
ISIC_0000484.JPG,ISIC_0000484_A02_T1_S1_57c04ebb9fc3c158f2bd0e39.png,Mask touches image border,low
ISIC_0000485.JPG,ISIC_0000485_A12_T3_S1_5450f8f6bae47865794e4d37.png,Mask touches image border,low
ISIC_0000489.JPG,ISIC_0000489_A04_T3_S2_5450f48cbae47865794e4d22.png,Mask touches image border,low
ISIC_0000489.JPG,ISIC_0000489_A12_T3_S1_5450f4d5bae47865794e4d28.png,Mask touches image border,low
ISIC_0000512.JPG,ISIC_0000512_A04_T3_S2_544e6dc1bae478661558fb4e.png,Mask touches image border,low
ISIC_0000517.JPG,ISIC_0000517_A06_T3_S1_54cbfce1bae47819d8e4c8be.png,Mask touches image border,low
ISIC_0000517.JPG,ISIC_0000517_A06_T1_S1_568b260a9fc3c126c063fe6b.png,Mask touches image border,low
ISIC_0000533.JPG,ISIC_0000533_A06_T3_S1_54cbe1d1bae47819d8e4c775.png,Mask touches image border,low
ISIC_0000539.JPG,ISIC_0000539_A06_T3_S1_54cbf31abae47819d8e4c7e9.png,Mask touches image border,low
ISIC_0000539.JPG,ISIC_0000539_A04_T3_S2_544a788bbae478661558fafd.png,Mask touches image border,low
ISIC_0000539.JPG,ISIC_0000539_A06_T3_S1_54cbe0d4bae47819d8e4c74b.png,Mask touches image border,low
ISIC_0000542.JPG,ISIC_0000542_A06_T3_S1_54cbf274bae47819d8e4c7d7.png,Mask touches image border,low
ISIC_0000549.JPG,ISIC_0000549_A04_T3_S2_5441203cbae478661558fadf.png,Mask touches image border,low
ISIC_0000549.JPG,ISIC_0000549_A04_T3_S1_546390a2bae47821f88025a1.png,Mask touches image border,low
ISIC_0000549.JPG,ISIC_0000549_A02_T1_S1_57c04fe29fc3c158f2bd0e41.png,Mask touches image border,low
ISIC_0000551.JPG,ISIC_0000551_A04_T3_S1_54411f98bae478661558fad9.png,Mask touches image border,low
ISIC_0000605.JPG,ISIC_0000605_A00_T2_S2_5841e1389fc3c156c3ef236d.png,Empty mask,high
ISIC_0000632.JPG,ISIC_0000632_A00_T2_S2_5841e13a9fc3c156c3ef2373.png,Empty mask,high
ISIC_0000663.JPG,ISIC_0000663_A00_T2_S2_5841e1409fc3c156c3ef2394.png,Empty mask,high
ISIC_0000666.JPG,ISIC_0000666_A00_T2_S2_5841e1419fc3c156c3ef2397.png,Mask touches image border,low
ISIC_0000670.JPG,ISIC_0000670_A00_T2_S2_5841e1429fc3c156c3ef239d.png,Empty mask,high
ISIC_0000682.JPG,ISIC_0000682_A00_T2_S2_5841e1449fc3c156c3ef23a9.png,Empty mask,high
ISIC_0000785.JPG,ISIC_0000785_A00_T2_S2_5841e14c9fc3c156c3ef23d6.png,Mask touches image border,low
ISIC_0000808.JPG,ISIC_0000808_A00_T2_S2_5841e14e9fc3c156c3ef23df.png,Mask touches image border,low
ISIC_0000810.JPG,ISIC_0000810_A00_T2_S2_5841e14f9fc3c156c3ef23e2.png,Mask touches image border,low
ISIC_0000889.JPG,ISIC_0000889_A00_T2_S2_5841e1569fc3c156c3ef240c.png,Empty mask,high
ISIC_0001013.JPG,ISIC_0001013_A00_T2_S2_5841e15e9fc3c156c3ef2439.png,Empty mask,high
ISIC_0001092.JPG,ISIC_0001092_A00_T2_S2_5841e1669fc3c156c3ef2466.png,Empty mask,high
ISIC_0001097.JPG,ISIC_0001097_A00_T2_S2_5841e1679fc3c156c3ef2469.png,Mask touches image border,low
ISIC_0001108.JPG,ISIC_0001108_A04_T1_S1_54e76ab0bae47850e86ce265.png,Mask touches image border,low
ISIC_0001110.JPG,ISIC_0001110_A04_T1_S1_54e76a73bae47850e86ce247.png,Mask touches image border,low
ISIC_0001124.JPG,ISIC_0001124_A04_T1_S1_54e76762bae47850e86ce1dd.png,Mask touches image border,low
ISIC_0001131.JPG,ISIC_0001131_A04_T1_S1_54e7624cbae47850e86ce1b1.png,Mask touches image border,low
ISIC_0001142.JPG,ISIC_0001142_A04_T1_S1_54e75f9bbae47850e86ce16f.png,Mask touches image border,low
ISIC_0001157.JPG,ISIC_0001157_A04_T1_S1_54e75adbbae47850e86ce115.png,Mask touches image border,low
ISIC_0001437.JPG,ISIC_0001437_A04_T1_S1_54ee0d3abae47871b5e02c63.png,Mask touches image border,low
ISIC_0002380.JPG,ISIC_0002380_A04_T1_S2_54f9e69bbae47807dbb0d637.png,Mask touches image border,low
ISIC_0002381.JPG,ISIC_0002381_A04_T1_S2_54f9e67abae47807dbb0d631.png,Mask touches image border,low
ISIC_0002597.JPG,ISIC_0002597_A02_T1_S1_56042e969fc3c10ee6f16601.png,Mask touches image border,low
ISIC_0002662.JPG,ISIC_0002662_A05_T1_S1_5604309a9fc3c10ee6f1669d.png,Mask touches image border,low
ISIC_0002794.JPG,ISIC_0002794_A05_T3_S1_560431ec9fc3c10ee6f16733.png,Mask touches image border,low
ISIC_0002808.JPG,ISIC_0002808_A02_T3_S1_56043d639fc3c10ee6f16955.png,Mask touches image border,low
ISIC_0002890.JPG,ISIC_0002890_A02_T3_S1_560434119fc3c10ee6f167b1.png,Mask touches image border,low
ISIC_0003060.JPG,ISIC_0003060_A05_T1_S1_55f2f2ac9fc3c1423fa7084b.png,Mask touches image border,low
ISIC_0003096.JPG,ISIC_0003096_A02_T1_S1_56016a419fc3c10ee6f160df.png,Mask touches image border,low
ISIC_0003127.JPG,ISIC_0003127_A05_T3_S1_560434249fc3c10ee6f167b7.png,Mask touches image border,low
ISIC_0003188.JPG,ISIC_0003188_A05_T1_S1_55f2eea19fc3c1423fa707d3.png,Mask touches image border,low
ISIC_0003328.JPG,ISIC_0003328_A05_T3_S1_560437329fc3c10ee6f16877.png,Mask touches image border,low
ISIC_0003426.JPG,ISIC_0003426_A02_T3_S1_560430729fc3c10ee6f1668b.png,Mask touches image border,low
ISIC_0003427.JPG,ISIC_0003427_A05_T3_S1_560435699fc3c10ee6f16829.png,Mask touches image border,low
ISIC_0003552.JPG,ISIC_0003552_A02_T3_S1_56043b609fc3c10ee6f1690d.png,Mask touches image border,low
ISIC_0003832.JPG,ISIC_0003832_A00_T2_S2_5841e16a9fc3c156c3ef2478.png,Empty mask,high
ISIC_0003871.JPG,ISIC_0003871_A00_T2_S2_5841e16e9fc3c156c3ef248d.png,Mask touches image border,low
ISIC_0003884.JPG,ISIC_0003884_A00_T2_S2_5841e16f9fc3c156c3ef2493.png,Empty mask,high
ISIC_0003953.JPG,ISIC_0003953_A05_T3_S1_565ddf509fc3c1045c4bdba5.png,Mask touches image border,low
ISIC_0003958.JPG,ISIC_0003958_A00_T2_S2_5841e1739fc3c156c3ef24ae.png,Mask touches image border,low
ISIC_0004002.JPG,ISIC_0004002_A00_T2_S2_5841e1789fc3c156c3ef24c6.png,Empty mask,high
ISIC_0004009.JPG,ISIC_0004009_A00_T2_S2_5841e1799fc3c156c3ef24cc.png,Empty mask,high
ISIC_0004070.JPG,ISIC_0004070_A00_T2_S2_5841e1809fc3c156c3ef24f3.png,Empty mask,high
ISIC_0004080.JPG,ISIC_0004080_A00_T2_S2_5841e1829fc3c156c3ef24f9.png,Empty mask,high
